company_id,company_name,sales_person_id,assigned_sales_person,company_size,industry,website_visits,demo_requested,source,response_time_hours,days_since_last_contact,converted
CMP-1001,Davis and Sons,SP-01,Rahul Kumar,Small,Retail,11,Yes,Referral,4.1,1,0
CMP-1002,Blake and Sons,SP-04,Divya Reddy,Mid,Manufacturing,43,No,Organic,5.7,3,0
CMP-1003,Doyle Ltd,SP-03,Arjun Nair,Small,Healthcare,5,No,Paid,3.6,4,0
CMP-1004,Hernandez Ltd,SP-04,Divya Reddy,Mid,Manufacturing,9,No,Organic,1.1,10,0
CMP-1005,Diaz-Frederick,SP-01,Rahul Kumar,Small,Retail,20,No,Cold Outreach,2.5,12,0
CMP-1006,CloudNine SaaS,SP-05,Karthik S,Small,Finance,29,Yes,Organic,26.1,4,1
CMP-1007,Acme Corp,SP-02,Priya Menon,Mid,SaaS,18,No,Cold Outreach,54.1,10,1
CMP-1008,Globex Corporation,SP-02,Priya Menon,Small,SaaS,5,No,Organic,7.6,18,0
CMP-1009,Initech LLC,SP-03,Arjun Nair,Small,Healthcare,20,Yes,Organic,104.0,15,1
CMP-1010,Umbrella Corp,SP-04,Divya Reddy,Small,Manufacturing,16,No,Referral,1.8,5,0
CMP-1011,Veer Technologies,SP-03,Arjun Nair,Enterprise,Healthcare,1,No,Paid,9.4,14,0
CMP-1012,Pied Piper,SP-05,Karthik S,Enterprise,Finance,15,No,Organic,19.8,15,0
CMP-1013,Hooli Inc,SP-05,Karthik S,Mid,Finance,2,Yes,Organic,24.3,4,1
CMP-1014,Stark Industries,SP-02,Priya Menon,Enterprise,SaaS,17,Yes,Paid,1.9,4,1
CMP-1015,Wayne Enterprises,SP-04,Divya Reddy,Enterprise,Manufacturing,25,No,Referral,5.0,23,1
CMP-1016,Soylent Corp,SP-01,Rahul Kumar,Enterprise,Retail,2,Yes,Paid,13.4,18,0
CMP-1017,Wonka Industries,SP-03,Arjun Nair,Small,Healthcare,4,Yes,Paid,9.9,29,0
